"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"the new york trilogy: city of glass, ghosts, the locked room","Paul Auster","1986.0","0.0","0.0","0.0","69.0","0.0","Male","European American","1.0","",""
"the sheltering sky","Paul Bowles","1949.0","97.0","92.0","0.0","83.0","0.0","Male","European American","3.0","",""
"genoa","Paul Metcalf","1965.0","0.0","0.0","0.0","43.0","0.0","Male","European American","1.0","",""
"the good earth","Pearl S. Buck","1931.0","0.0","0.0","0.0","0.0","19.0","Female","European American","1.0","",""
"portnoy's complaint","Philip Roth","1969.0","52.0","0.0","0.0","0.0","53.0","Male","European American","1.0","",""
"the man in the high castle","Phillip K. Dick","1962.0","0.0","0.0","0.0","75.0","0.0","Male","European American","1.0","",""
"invisible man","Ralph Ellison","1952.0","19.0","69.0","24.0","18.0","0.0","Male","African American","4.0","",""
"farenheit 451","Ray Bradbury","1953.0","0.0","77.0","0.0","0.0","0.0","Male","European American","1.0","",""
"something wicked this way comes","Ray Bradbury","1962.0","0.0","65.0","0.0","0.0","0.0","Male","European American","1.0","",""
"what we talk about when we talk about love","Raymond Carver","1981.0","0.0","0.0","0.0","62.0","0.0","Male","European American","1.0","",""
"double or nothing","Raymond Federman","1972.0","0.0","0.0","0.0","46.0","0.0","Male","European American","1.0","",""
"take it or leave it","Raymond Federman","1975.0","0.0","0.0","0.0","11.0","0.0","Male","European American","1.0","",""
"watership down","Richard Adams","1972.0","0.0","79.0","0.0","0.0","0.0","Male","British","1.0","",""
"illusions","Richard Bach","1977.0","0.0","98.0","0.0","0.0","0.0","Male","European American","1.0","",""
"johnathan livingston seagull","Richard Bach*","1973.0","0.0","0.0","0.0","0.0","56.0","Male","European American","1.0","",""
"a high wind in jamaica","Richard Hughes","1929.0","71.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"how green was my valley","Richard Llewellyn","1940.0","0.0","0.0","0.0","0.0","25.0","Male","British","1.0","",""
"native son","Richard Wright","1940.0","20.0","0.0","27.0","50.0","0.0","Male","African American","3.0","",""
"the stain","Rikki Ducornet","1984.0","0.0","0.0","0.0","35.0","0.0","Female","European American","1.0","",""
"pricksongs and descants","Robert Coover","1969.0","0.0","0.0","0.0","74.0","0.0","Male","European American","1.0","",""
"the public burning","Robert Coover","1977.0","0.0","0.0","0.0","4.0","0.0","Male","European American","1.0","",""
"the universal baseball association, inc., j. henry waugh, prop.","Robert Coover","1968.0","0.0","0.0","0.0","90.0","0.0","Male","European American","1.0","",""
"i, claudius","Robert Graves","1934.0","14.0","74.0","0.0","0.0","0.0","Male","British","2.0","",""
"citizen of the galaxy","Robert Heinlein","1957.0","0.0","87.0","0.0","0.0","0.0","Male","European American","1.0","",""
"double star","Robert Heinlein","1956.0","0.0","86.0","0.0","0.0","0.0","Male","European American","1.0","",""
"starship troopers","Robert Heinlein","1959.0","0.0","62.0","0.0","0.0","0.0","Male","European American","1.0","",""
